ICD10,relationship,ICD9
M21.6X9,<9-10>,736.79
M21.759,<9-10>,736.81
M21.80,<9-10>,736.89
M21.90,<9-10>,736.9
M40.00,<9-10>,737.0
M40.00,<9-10>,737.10
M96.2,<9-10>,737.11
M96.3,<9-10>,737.12
M40.299,<9-10>,737.19
M40.40,<9-10>,737.20
M96.4,<9-10>,737.21
M96.4,<9-10>,737.22
M40.50,<9-10>,737.29
M41.20,<9-10>,737.30
M41.00,<9-10>,737.31
M41.00,<9-10>,737.32
M96.5,<9-10>,737.33
M41.30,<9-10>,737.34
M41.80,<9-10>,737.39
M43.8X9,<9-10>,737.40
M40.10,<9-10>,737.41
M40.50,<9-10>,737.42
M41.40,<9-10>,737.43
M43.8X9,<9-10>,737.8
M43.8X9,<9-10>,737.9
M95.0,<9-10>,738.0
M89.38,<9-10>,738.11
M89.8X8,<9-10>,738.12
M95.2,<9-10>,738.19
M95.3,<9-10>,738.2
M95.4,<9-10>,738.3
M43.00,<9-10>,738.4
M99.83,<9-10>,738.5
M95.5,<9-10>,738.6
M95.10,<9-10>,738.7
M95.8,<9-10>,738.8
M95.9,<9-10>,738.9
M99.00,<9-10>,739.0
M99.01,<9-10>,739.1
M99.02,<9-10>,739.2
M99.03,<9-10>,739.3
M99.04,<9-10>,739.4
M99.05,<9-10>,739.5
M99.06,<9-10>,739.6
M99.07,<9-10>,739.7
M99.08,<9-10>,739.8
M99.09,<9-10>,739.9
Q00.0,<9-10>,740.0
Q00.1,<9-10>,740.1
Q00.2,<9-10>,740.2
Q05.4,<9-10>,741.00
Q05.0,<9-10>,741.01
Q05.1,<9-10>,741.02
Q05.2,<9-10>,741.03
Q05.8,<9-10>,741.90
Q05.5,<9-10>,741.91
Q05.6,<9-10>,741.92
Q05.7,<9-10>,741.93
Q01.9,<9-10>,742.0
Q02,<9-10>,742.1
Q04.1,<9-10>,742.2
Q03.0,<9-10>,742.3
Q04.5,<9-10>,742.4
Q06.2,<9-10>,742.51
Q06.4,<9-10>,742.53
Q06.0,<9-10>,742.59
G90.1,<9-10>,742.8
Q07.9,<9-10>,742.9
Q11.1,<9-10>,743.00
Q11.0,<9-10>,743.03
Q11.2,<9-10>,743.06
Q11.2,<9-10>,743.10
Q15.0,<9-10>,743.20
Q15.0,<9-10>,743.21
Q15.0,<9-10>,743.22
Q12.0,<9-10>,743.30
Q12.3,<9-10>,743.35
Q12.4,<9-10>,743.36
Q12.1,<9-10>,743.37
Q12.9,<9-10>,743.39
Q13.4,<9-10>,743.41
Q13.3,<9-10>,743.43
Q13.4,<9-10>,743.44
Q13.1,<9-10>,743.45
Q13.0,<9-10>,743.46
Q13.5,<9-10>,743.47
Q13.89,<9-10>,743.49
Q14.0,<9-10>,743.51
Q14.8,<9-10>,743.52
Q14.3,<9-10>,743.53
Q14.1,<9-10>,743.56
Q14.2,<9-10>,743.57
Q14.8,<9-10>,743.59
Q10.0,<9-10>,743.61
Q10.1,<9-10>,743.62
Q10.3,<9-10>,743.63
Q10.4,<9-10>,743.65
Q10.7,<9-10>,743.66
Q10.3,<9-10>,743.69
Q11.3,<9-10>,743.8
Q15.9,<9-10>,743.9
Q16.9,<9-10>,744.00
Q16.0,<9-10>,744.01
Q16.1,<9-10>,744.02
Q16.4,<9-10>,744.03
Q16.3,<9-10>,744.04
Q16.5,<9-10>,744.05
Q16.9,<9-10>,744.09
Q17.0,<9-10>,744.1
Q17.8,<9-10>,744.21
Q17.1,<9-10>,744.22
Q17.2,<9-10>,744.23
Q16.2,<9-10>,744.24
Q17.3,<9-10>,744.29
Q17.9,<9-10>,744.3
Q18.0,<9-10>,744.41
Q18.0,<9-10>,744.42
Q18.2,<9-10>,744.43
Q18.1,<9-10>,744.46
Q18.1,<9-10>,744.47
Q18.2,<9-10>,744.49
Q18.3,<9-10>,744.5
Q18.6,<9-10>,744.81
Q18.7,<9-10>,744.82
Q18.4,<9-10>,744.83
Q18.5,<9-10>,744.84
Q18.8,<9-10>,744.89
Q18.9,<9-10>,744.9
Q20.0,<9-10>,745.0
Q20.3,<9-10>,745.10
Q20.1,<9-10>,745.11
Q20.5,<9-10>,745.12
Q20.3,<9-10>,745.19
Q21.3,<9-10>,745.2
Q20.4,<9-10>,745.3
Q21.0,<9-10>,745.4
Q21.1,<9-10>,745.5
Q21.2,<9-10>,745.60
Q21.2,<9-10>,745.61
Q21.2,<9-10>,745.69
Q20.8,<9-10>,745.7
Q20.8,<9-10>,745.8
Q21.9,<9-10>,745.9
Q22.3,<9-10>,746.00
Q22.0,<9-10>,746.01
Q22.1,<9-10>,746.02
Q22.2,<9-10>,746.09
Q22.9,<9-10>,746.1
Q22.5,<9-10>,746.2
Q23.0,<9-10>,746.3
Q23.1,<9-10>,746.4
Q23.2,<9-10>,746.5
Q23.3,<9-10>,746.6
Q23.4,<9-10>,746.7
Q24.4,<9-10>,746.81
Q24.2,<9-10>,746.82
Q24.3,<9-10>,746.83
Q24.8,<9-10>,746.84
Q24.5,<9-10>,746.85
Q24.6,<9-10>,746.86
Q24.0,<9-10>,746.87
Q23.8,<9-10>,746.89
Q20.9,<9-10>,746.9
Q25.0,<9-10>,747.0
Q25.1,<9-10>,747.10
Q25.4,<9-10>,747.20
Q25.4,<9-10>,747.21
Q25.2,<9-10>,747.22
Q25.4,<9-10>,747.29
Q25.5,<9-10>,747.31
Q25.72,<9-10>,747.32
Q25.6,<9-10>,747.39
Q26.9,<9-10>,747.40
Q26.2,<9-10>,747.41
Q26.3,<9-10>,747.42
Q26.0,<9-10>,747.49
Q27.0,<9-10>,747.5
Q27.9,<9-10>,747.60
Q26.5,<9-10>,747.61
Q27.2,<9-10>,747.62
Q27.31,<9-10>,747.63
Q27.32,<9-10>,747.64
Q27.8,<9-10>,747.69
Q28.2,<9-10>,747.81
P29.3,<9-10>,747.83
Q28.8,<9-10>,747.89
Q28.9,<9-10>,747.9
Q30.0,<9-10>,748.0
Q30.1,<9-10>,748.1
Q31.0,<9-10>,748.2
Q31.1,<9-10>,748.3
Q33.0,<9-10>,748.4
Q33.2,<9-10>,748.5
Q33.9,<9-10>,748.60
Q33.4,<9-10>,748.61
Q33.1,<9-10>,748.69
Q34.0,<9-10>,748.8
Q34.9,<9-10>,748.9
Q35.9,<9-10>,749.00
Q35.7,<9-10>,749.02
Q36.9,<9-10>,749.10
Q36.9,<9-10>,749.11
Q36.9,<9-10>,749.12
Q36.0,<9-10>,749.13
Q36.0,<9-10>,749.14
Q37.9,<9-10>,749.20
Q37.8,<9-10>,749.23
Q37.8,<9-10>,749.24
Q38.1,<9-10>,750.0
Q38.3,<9-10>,750.10
Q38.3,<9-10>,750.11
Q38.3,<9-10>,750.12
Q38.3,<9-10>,750.13
Q38.2,<9-10>,750.15
Q38.3,<9-10>,750.16
Q38.3,<9-10>,750.19
Q38.4,<9-10>,750.21
Q38.4,<9-10>,750.22
Q38.4,<9-10>,750.23
Q38.4,<9-10>,750.24
Q38.0,<9-10>,750.25
Q38.6,<9-10>,750.26
Q38.7,<9-10>,750.27
Q38.8,<9-10>,750.29
Q39.0,<9-10>,750.3
Q39.5,<9-10>,750.4
Q40.0,<9-10>,750.5
Q40.1,<9-10>,750.6
Q39.5,<9-10>,750.7
Q40.8,<9-10>,750.8
Q38.5,<9-10>,750.9
Q43.0,<9-10>,751.0
Q41.9,<9-10>,751.1
Q42.9,<9-10>,751.2
Q43.1,<9-10>,751.3
Q43.3,<9-10>,751.4
Q43.4,<9-10>,751.5
Q44.1,<9-10>,751.60
Q44.2,<9-10>,751.61
Q44.6,<9-10>,751.62
Q44.1,<9-10>,751.69
Q45.0,<9-10>,751.7
Q45.8,<9-10>,751.8
Q45.9,<9-10>,751.9
Q50.01,<9-10>,752.0
Q50.6,<9-10>,752.10
Q50.4,<9-10>,752.11
Q50.6,<9-10>,752.19
Q51.10,<9-10>,752.2
Q51.0,<9-10>,752.31
Q51.811,<9-10>,752.32
Q51.4,<9-10>,752.33
Q51.3,<9-10>,752.34
Q51.2,<9-10>,752.35
Q51.810,<9-10>,752.36
Q51.818,<9-10>,752.39
Q52.9,<9-10>,752.40
Q51.6,<9-10>,752.41
Q52.3,<9-10>,752.42
Q51.5,<9-10>,752.43
Q51.820,<9-10>,752.44
Q52.0,<9-10>,752.45
Q52.11,<9-10>,752.46
Q52.12,<9-10>,752.47
Q51.0,<9-10>,752.49
Q53.9,<9-10>,752.51
Q55.22,<9-10>,752.52
Q54.9,<9-10>,752.61
Q64.0,<9-10>,752.62
Q54.4,<9-10>,752.63
Q55.62,<9-10>,752.64
Q55.64,<9-10>,752.65
Q55.63,<9-10>,752.69
Q56.3,<9-10>,752.7
Q55.23,<9-10>,752.81
Q55.0,<9-10>,752.89
Q52.9,<9-10>,752.9
Q60.2,<9-10>,753.0
Q61.00,<9-10>,753.10
Q61.01,<9-10>,753.11
Q61.3,<9-10>,753.12
Q61.2,<9-10>,753.13
Q61.19,<9-10>,753.14
Q61.4,<9-10>,753.15
Q61.5,<9-10>,753.16
Q61.5,<9-10>,753.17
Q61.02,<9-10>,753.19
Q62.39,<9-10>,753.20
Q62.11,<9-10>,753.21
Q62.12,<9-10>,753.22
Q62.31,<9-10>,753.23
Q62.10,<9-10>,753.29
Q63.0,<9-10>,753.3
Q62.4,<9-10>,753.4
Q64.10,<9-10>,753.5
Q64.2,<9-10>,753.6
Q64.4,<9-10>,753.7
Q64.5,<9-10>,753.8
Q64.9,<9-10>,753.9
Q67.0,<9-10>,754.0
Q68.0,<9-10>,754.1
Q67.5,<9-10>,754.2
Q65.00,<9-10>,754.30
Q65.1,<9-10>,754.31
Q65.30,<9-10>,754.32
Q65.4,<9-10>,754.33
Q68.2,<9-10>,754.40
Q68.2,<9-10>,754.41
Q68.3,<9-10>,754.42
Q68.4,<9-10>,754.43
Q68.5,<9-10>,754.44
Q66.0,<9-10>,754.51
Q66.2,<9-10>,754.52
Q66.2,<9-10>,754.53
Q66.1,<9-10>,754.59
Q66.50,<9-10>,754.61
Q66.4,<9-10>,754.62
Q66.6,<9-10>,754.69
Q66.89,<9-10>,754.70
Q66.7,<9-10>,754.71
Q66.89,<9-10>,754.79
Q67.6,<9-10>,754.81
Q67.7,<9-10>,754.82
Q67.8,<9-10>,754.89
Q69.9,<9-10>,755.00
Q69.0,<9-10>,755.01
Q69.2,<9-10>,755.02
Q70.4,<9-10>,755.10
Q70.10,<9-10>,755.11
Q70.00,<9-10>,755.12
Q70.30,<9-10>,755.13
Q70.20,<9-10>,755.14
Q71.899,<9-10>,755.20
Q71.00,<9-10>,755.21
Q71.10,<9-10>,755.23
Q71.20,<9-10>,755.25
Q71.40,<9-10>,755.26
Q71.50,<9-10>,755.27
Q71.30,<9-10>,755.29
Q72.899,<9-10>,755.30
Q72.00,<9-10>,755.31
Q72.10,<9-10>,755.33
Q72.40,<9-10>,755.34
Q72.20,<9-10>,755.35
Q72.50,<9-10>,755.36
Q72.60,<9-10>,755.37
Q72.30,<9-10>,755.38
Q72.30,<9-10>,755.39
Q73.0,<9-10>,755.4
Q74.9,<9-10>,755.50
Q68.8,<9-10>,755.51
Q68.8,<9-10>,755.52
Q74.0,<9-10>,755.53
Q74.0,<9-10>,755.54
Q87.0,<9-10>,755.55
Q74.0,<9-10>,755.56
Q74.0,<9-10>,755.57
Q71.60,<9-10>,755.58
Q74.0,<9-10>,755.59
Q65.81,<9-10>,755.61
Q65.82,<9-10>,755.62
Q65.89,<9-10>,755.63
Q68.2,<9-10>,755.64
Q74.2,<9-10>,755.65
Q66.89,<9-10>,755.66
Q66.89,<9-10>,755.67
Q74.2,<9-10>,755.69
Q74.8,<9-10>,755.8
Q74.9,<9-10>,755.9
Q75.0,<9-10>,756.0
Q76.2,<9-10>,756.12
Q76.49,<9-10>,756.13
Q76.49,<9-10>,756.14
Q76.49,<9-10>,756.15
Q76.1,<9-10>,756.16
Q76.0,<9-10>,756.17
Q76.419,<9-10>,756.19
Q76.5,<9-10>,756.2
Q76.6,<9-10>,756.3
Q77.1,<9-10>,756.4
Q78.9,<9-10>,756.50
Q78.0,<9-10>,756.51
Q78.2,<9-10>,756.52
Q78.8,<9-10>,756.53
Q78.1,<9-10>,756.54
Q77.6,<9-10>,756.55
Q78.3,<9-10>,756.56
Q78.8,<9-10>,756.59
Q79.0,<9-10>,756.6
Q79.59,<9-10>,756.70
Q79.4,<9-10>,756.71
Q79.2,<9-10>,756.72
Q79.3,<9-10>,756.73
Q79.59,<9-10>,756.79
Q79.8,<9-10>,756.81
Q79.8,<9-10>,756.82
Q79.6,<9-10>,756.83
Q79.8,<9-10>,756.89
Q68.8,<9-10>,756.9
Q82.0,<9-10>,757.0
Q80.3,<9-10>,757.1
Q82.8,<9-10>,757.2
Q82.4,<9-10>,757.31
Q82.5,<9-10>,757.32
Q82.1,<9-10>,757.33
Q81.9,<9-10>,757.39
Q84.0,<9-10>,757.4
Q84.3,<9-10>,757.5
Q83.0,<9-10>,757.6
Q84.8,<9-10>,757.8
Q84.9,<9-10>,757.9
Q90.9,<9-10>,758.0
Q91.7,<9-10>,758.1
Q91.3,<9-10>,758.2
Q93.4,<9-10>,758.31
Q93.81,<9-10>,758.32
Q93.88,<9-10>,758.33
Q93.3,<9-10>,758.39
Q95.0,<9-10>,758.4
Q92.8,<9-10>,758.5
Q96.9,<9-10>,758.6
Q98.4,<9-10>,758.7
Q97.0,<9-10>,758.81
Q99.8,<9-10>,758.89
Q99.9,<9-10>,758.9
Q89.01,<9-10>,759.0
Q89.1,<9-10>,759.1
Q89.2,<9-10>,759.2
Q89.3,<9-10>,759.3
Q89.4,<9-10>,759.4
Q85.1,<9-10>,759.5
Q85.8,<9-10>,759.6
Q89.7,<9-10>,759.7
Q87.1,<9-10>,759.81
Q87.40,<9-10>,759.82
Q99.2,<9-10>,759.83
E78.71,<9-10>,759.89
Q89.9,<9-10>,759.9
P00.0,<9-10>,760.0
P00.1,<9-10>,760.1
P00.2,<9-10>,760.2
P00.3,<9-10>,760.3
P00.4,<9-10>,760.4
P00.5,<9-10>,760.5
P00.7,<9-10>,760.62
P00.6,<9-10>,760.63
P04.9,<9-10>,760.70
P04.3,<9-10>,760.71
P04.49,<9-10>,760.72
P04.49,<9-10>,760.73
P04.1,<9-10>,760.74
P04.41,<9-10>,760.75
P04.1,<9-10>,760.78
P04.8,<9-10>,760.79
P00.89,<9-10>,760.8
P00.9,<9-10>,760.9
P01.0,<9-10>,761.0
P01.1,<9-10>,761.1
P01.2,<9-10>,761.2
P01.3,<9-10>,761.3
P01.4,<9-10>,761.4
P01.5,<9-10>,761.5
P01.6,<9-10>,761.6
P01.7,<9-10>,761.7
P01.8,<9-10>,761.8
P01.9,<9-10>,761.9
P02.0,<9-10>,762.0
P02.1,<9-10>,762.1
P02.29,<9-10>,762.2
P02.3,<9-10>,762.3
P02.4,<9-10>,762.4
P02.5,<9-10>,762.5
P02.60,<9-10>,762.6
P02.7,<9-10>,762.7
P02.8,<9-10>,762.8
P02.9,<9-10>,762.9
P03.0,<9-10>,763.0
P03.1,<9-10>,763.1
P03.2,<9-10>,763.2
P03.3,<9-10>,763.3
P03.4,<9-10>,763.4
P04.0,<9-10>,763.5
P03.5,<9-10>,763.6
P03.6,<9-10>,763.7
P03.810,<9-10>,763.81
P03.811,<9-10>,763.82
P03.819,<9-10>,763.83
P03.82,<9-10>,763.84
P03.89,<9-10>,763.89
P03.9,<9-10>,763.9
P05.00,<9-10>,764.00
P05.01,<9-10>,764.01
P05.02,<9-10>,764.02
P05.03,<9-10>,764.03
P05.04,<9-10>,764.04
P05.05,<9-10>,764.05
P05.06,<9-10>,764.06
P05.07,<9-10>,764.07
P05.08,<9-10>,764.08
P05.10,<9-10>,764.10
P05.11,<9-10>,764.11
P05.12,<9-10>,764.12
P05.13,<9-10>,764.13
P05.14,<9-10>,764.14
P05.15,<9-10>,764.15
P05.16,<9-10>,764.16
P05.17,<9-10>,764.17
P05.18,<9-10>,764.18
P05.2,<9-10>,764.20
P05.9,<9-10>,764.90
P07.00,<9-10>,765.00
P07.01,<9-10>,765.01
P07.02,<9-10>,765.02
P07.03,<9-10>,765.03
P07.14,<9-10>,765.04
P07.15,<9-10>,765.05
P07.16,<9-10>,765.06
P07.17,<9-10>,765.07
P07.18,<9-10>,765.08
P07.30,<9-10>,765.09
P07.00,<9-10>,765.10
P07.01,<9-10>,765.11
P07.02,<9-10>,765.12
P07.03,<9-10>,765.13
P07.14,<9-10>,765.14
P07.15,<9-10>,765.15
P07.16,<9-10>,765.16
P07.17,<9-10>,765.17
P07.18,<9-10>,765.18
P07.30,<9-10>,765.19
P07.20,<9-10>,765.20
P07.21,<9-10>,765.21
P07.23,<9-10>,765.22
P07.24,<9-10>,765.23
P07.26,<9-10>,765.24
P07.32,<9-10>,765.25
P07.34,<9-10>,765.26
P07.36,<9-10>,765.27
P07.38,<9-10>,765.28
P08.0,<9-10>,766.0
P08.1,<9-10>,766.1
P08.21,<9-10>,766.21
P08.22,<9-10>,766.22
P10.0,<9-10>,767.0
P12.2,<9-10>,767.11
P12.0,<9-10>,767.19
P13.4,<9-10>,767.2
P13.0,<9-10>,767.3
P11.5,<9-10>,767.4
P11.3,<9-10>,767.5
P14.0,<9-10>,767.6
P11.4,<9-10>,767.7
P15.0,<9-10>,767.8
P15.9,<9-10>,767.9
P19.0,<9-10>,768.2
P19.1,<9-10>,768.3
P19.9,<9-10>,768.4
P91.60,<9-10>,768.70
P91.61,<9-10>,768.71
P91.62,<9-10>,768.72
P91.63,<9-10>,768.73
P84,<9-10>,768.9
P22.0,<9-10>,769
P23.9,<9-10>,770.0
P24.9,<9-10>,770.10
P24.00,<9-10>,770.11
P24.01,<9-10>,770.12
P24.10,<9-10>,770.13
P24.11,<9-10>,770.14
P24.20,<9-10>,770.15
P24.21,<9-10>,770.16
P24.80,<9-10>,770.17
P24.81,<9-10>,770.18
P25.0,<9-10>,770.2
P26.1,<9-10>,770.3
P28.0,<9-10>,770.4
P28.10,<9-10>,770.5
P22.1,<9-10>,770.6
P27.0,<9-10>,770.7
P28.3,<9-10>,770.81
P28.4,<9-10>,770.82
P28.2,<9-10>,770.83
P28.5,<9-10>,770.84
P24.30,<9-10>,770.85
P24.31,<9-10>,770.86
P28.81,<9-10>,770.87
P84,<9-10>,770.88
P28.89,<9-10>,770.89
P28.9,<9-10>,770.9
P35.0,<9-10>,771.0
P35.1,<9-10>,771.1
P35.2,<9-10>,771.2
A33,<9-10>,771.3
P38.9,<9-10>,771.4
P39.0,<9-10>,771.5
P39.1,<9-10>,771.6
P37.5,<9-10>,771.7
P36.9,<9-10>,771.81
P39.3,<9-10>,771.82
R78.81,<9-10>,771.83
P39.2,<9-10>,771.89
P50.0,<9-10>,772.0
P52.3,<9-10>,772.10
P52.0,<9-10>,772.11
P52.1,<9-10>,772.12
P52.21,<9-10>,772.13
P52.22,<9-10>,772.14
P10.3,<9-10>,772.2
P51.8,<9-10>,772.3
P54.3,<9-10>,772.4
P54.4,<9-10>,772.5
P54.5,<9-10>,772.6
P54.8,<9-10>,772.8
P54.9,<9-10>,772.9
P55.0,<9-10>,773.0
P55.1,<9-10>,773.1
P55.8,<9-10>,773.2
P56.0,<9-10>,773.3
P57.0,<9-10>,773.4
P58.8,<9-10>,774.0
P58.0,<9-10>,774.1
P59.0,<9-10>,774.2
P59.8,<9-10>,774.30
P59.3,<9-10>,774.39
P59.1,<9-10>,774.4
P59.8,<9-10>,774.5
P59.9,<9-10>,774.6
P57.8,<9-10>,774.7
P70.0,<9-10>,775.0
P70.2,<9-10>,775.1
P94.0,<9-10>,775.2
P72.1,<9-10>,775.3
P71.0,<9-10>,775.4
P74.1,<9-10>,775.5
P70.4,<9-10>,775.6
P74.0,<9-10>,775.7
P84,<9-10>,775.81
P72.8,<9-10>,775.89
P72.9,<9-10>,775.9
P53,<9-10>,776.0
P61.0,<9-10>,776.1
P60,<9-10>,776.2
P61.6,<9-10>,776.3
P61.1,<9-10>,776.4
P61.3,<9-10>,776.5
P61.2,<9-10>,776.6
P61.5,<9-10>,776.7
P61.8,<9-10>,776.8
P61.9,<9-10>,776.9
P76.0,<9-10>,777.1
P76.2,<9-10>,777.2
P78.2,<9-10>,777.3
P76.1,<9-10>,777.4
P77.9,<9-10>,777.50
P77.1,<9-10>,777.51
P77.2,<9-10>,777.52
P77.3,<9-10>,777.53
P78.0,<9-10>,777.6
P78.81,<9-10>,777.8
P78.9,<9-10>,777.9
P83.2,<9-10>,778.0
P83.0,<9-10>,778.1
P80.0,<9-10>,778.2
P80.8,<9-10>,778.3
P81.0,<9-10>,778.4
P83.30,<9-10>,778.5
P83.5,<9-10>,778.6
P83.4,<9-10>,778.7
P83.8,<9-10>,778.8
P83.9,<9-10>,778.9
P90,<9-10>,779.0
P91.8,<9-10>,779.1
P91.4,<9-10>,779.2
P92.1,<9-10>,779.31
P92.01,<9-10>,779.32
P92.09,<9-10>,779.33
P92.6,<9-10>,779.34
P93.0,<9-10>,779.4
P96.1,<9-10>,779.5
P91.2,<9-10>,779.7
P29.12,<9-10>,779.81
P29.11,<9-10>,779.82
P96.82,<9-10>,779.83
P96.83,<9-10>,779.84
P29.81,<9-10>,779.85
P29.0,<9-10>,779.89
P95,<9-10>,779.9
R40.20,<9-10>,780.01
R40.4,<9-10>,780.02
R40.3,<9-10>,780.03
R40.0,<9-10>,780.09
R44.0,<9-10>,780.1
R55,<9-10>,780.2
R56.00,<9-10>,780.31
R56.01,<9-10>,780.32
R56.1,<9-10>,780.33
R56.9,<9-10>,780.39
R42,<9-10>,780.4
G47.9,<9-10>,780.50
G47.30,<9-10>,780.51
G47.00,<9-10>,780.52
G47.30,<9-10>,780.53
G47.10,<9-10>,780.54
G47.30,<9-10>,780.57
R50.2,<9-10>,780.60
R50.81,<9-10>,780.61
R50.82,<9-10>,780.62
R50.83,<9-10>,780.63
R68.83,<9-10>,780.64
R68.0,<9-10>,780.65
R50.84,<9-10>,780.66
R53.82,<9-10>,780.71
R53.2,<9-10>,780.72
G93.3,<9-10>,780.79
R61,<9-10>,780.8
R68.12,<9-10>,780.91
R68.11,<9-10>,780.92
R41.2,<9-10>,780.93
R68.81,<9-10>,780.94
R45.83,<9-10>,780.95
R52,<9-10>,780.96
R41.82,<9-10>,780.97
R45.84,<9-10>,780.99
R25.0,<9-10>,781.0
R43.0,<9-10>,781.1
R26.0,<9-10>,781.2
R27.0,<9-10>,781.3
R29.5,<9-10>,781.4
R68.3,<9-10>,781.5
R29.1,<9-10>,781.6
R29.0,<9-10>,781.7
R41.4,<9-10>,781.8
R29.890,<9-10>,781.91
R29.3,<9-10>,781.92
R29.891,<9-10>,781.93
R29.810,<9-10>,781.94
R29.818,<9-10>,781.99
R20.0,<9-10>,782.0
R21,<9-10>,782.1
R22.9,<9-10>,782.2
R60.0,<9-10>,782.3
R17,<9-10>,782.4
R23.0,<9-10>,782.5
R23.1,<9-10>,782.61
R23.2,<9-10>,782.62
R23.3,<9-10>,782.7
R23.4,<9-10>,782.8
R23.8,<9-10>,782.9
R63.0,<9-10>,783.0
R63.5,<9-10>,783.1
R63.4,<9-10>,783.21
R63.6,<9-10>,783.22
R63.3,<9-10>,783.3
R62.50,<9-10>,783.40
R62.51,<9-10>,783.41
R62.0,<9-10>,783.42
R62.52,<9-10>,783.43
R63.1,<9-10>,783.5
R63.2,<9-10>,783.6
R62.7,<9-10>,783.7
R63.8,<9-10>,783.9
G44.1,<9-10>,784.0
R07.0,<9-10>,784.1
R22.0,<9-10>,784.2
R47.01,<9-10>,784.3
R49.9,<9-10>,784.40
R49.1,<9-10>,784.41
R49.0,<9-10>,784.42
R49.21,<9-10>,784.43
R49.22,<9-10>,784.44
R49.8,<9-10>,784.49
R47.1,<9-10>,784.51
R47.82,<9-10>,784.52
R47.02,<9-10>,784.59
R48.9,<9-10>,784.60
R48.0,<9-10>,784.61
R48.1,<9-10>,784.69
R04.0,<9-10>,784.7
R04.1,<9-10>,784.8
R09.82,<9-10>,784.91
R68.84,<9-10>,784.92
R06.5,<9-10>,784.99
R00.0,<9-10>,785.0
R00.2,<9-10>,785.1
R01.1,<9-10>,785.2
R01.2,<9-10>,785.3
I96,<9-10>,785.4
R57.9,<9-10>,785.50
R57.0,<9-10>,785.51
R65.21,<9-10>,785.52
R57.1,<9-10>,785.59
R59.9,<9-10>,785.6
R09.89,<9-10>,785.9
R06.9,<9-10>,786.00
R06.4,<9-10>,786.01
R06.01,<9-10>,786.02
R06.81,<9-10>,786.03
R06.3,<9-10>,786.04
R06.02,<9-10>,786.05
R06.82,<9-10>,786.06
R06.2,<9-10>,786.07
R06.00,<9-10>,786.09
R06.1,<9-10>,786.1
R05,<9-10>,786.2
R04.2,<9-10>,786.30
R04.81,<9-10>,786.31
R04.89,<9-10>,786.39
R09.3,<9-10>,786.4
R07.9,<9-10>,786.50
R07.2,<9-10>,786.51
R07.1,<9-10>,786.52
R07.82,<9-10>,786.59
R22.2,<9-10>,786.6
R09.89,<9-10>,786.7
R06.6,<9-10>,786.8
R06.89,<9-10>,786.9
R11.2,<9-10>,787.01
R11.0,<9-10>,787.02
R11.10,<9-10>,787.03
R11.14,<9-10>,787.04
R12,<9-10>,787.1
R13.0,<9-10>,787.20
R13.11,<9-10>,787.21
R13.12,<9-10>,787.22
R13.13,<9-10>,787.23
R13.14,<9-10>,787.24
R13.19,<9-10>,787.29
R14.0,<9-10>,787.3
R19.2,<9-10>,787.4
R19.11,<9-10>,787.5
R15.9,<9-10>,787.60
R15.0,<9-10>,787.61
R15.1,<9-10>,787.62
R15.2,<9-10>,787.63
R19.5,<9-10>,787.7
K52.2,<9-10>,787.91
R19.4,<9-10>,787.99
N23,<9-10>,788.0
R30.0,<9-10>,788.1
R33.9,<9-10>,788.20
R39.14,<9-10>,788.21
R33.8,<9-10>,788.29
R32,<9-10>,788.30
N39.41,<9-10>,788.31
N39.3,<9-10>,788.32
N39.46,<9-10>,788.33
N39.42,<9-10>,788.34
N39.43,<9-10>,788.35
N39.44,<9-10>,788.36
N39.45,<9-10>,788.37
N39.490,<9-10>,788.38
N39.498,<9-10>,788.39
R35.0,<9-10>,788.41
R35.8,<9-10>,788.42
R35.1,<9-10>,788.43
R34,<9-10>,788.5
R39.13,<9-10>,788.61
R39.12,<9-10>,788.62
R39.15,<9-10>,788.63
R39.11,<9-10>,788.64
R39.16,<9-10>,788.65
R39.19,<9-10>,788.69
R36.0,<9-10>,788.7
R39.0,<9-10>,788.8
R39.81,<9-10>,788.91
R30.1,<9-10>,788.99
R10.9,<9-10>,789.00
R10.11,<9-10>,789.01
R10.12,<9-10>,789.02
R10.31,<9-10>,789.03
R10.32,<9-10>,789.04
R10.33,<9-10>,789.05
R10.13,<9-10>,789.06
R10.84,<9-10>,789.07
R10.10,<9-10>,789.09
R16.0,<9-10>,789.1
R16.1,<9-10>,789.2
R19.00,<9-10>,789.30
R19.01,<9-10>,789.31
R19.02,<9-10>,789.32
R19.03,<9-10>,789.33
R19.04,<9-10>,789.34
R19.05,<9-10>,789.35
R19.06,<9-10>,789.36
R19.07,<9-10>,789.37
R19.09,<9-10>,789.39
R19.30,<9-10>,789.40
R19.31,<9-10>,789.41
R19.32,<9-10>,789.42
R19.33,<9-10>,789.43
R19.34,<9-10>,789.44
R19.35,<9-10>,789.45
R19.36,<9-10>,789.46
R19.37,<9-10>,789.47
R19.30,<9-10>,789.49
R18.0,<9-10>,789.51
R18.8,<9-10>,789.59
R10.819,<9-10>,789.60
R10.811,<9-10>,789.61
R10.812,<9-10>,789.62
R10.813,<9-10>,789.63
R10.814,<9-10>,789.64
R10.815,<9-10>,789.65
R10.816,<9-10>,789.66
R10.817,<9-10>,789.67
R10.819,<9-10>,789.69
R10.83,<9-10>,789.7
R19.8,<9-10>,789.9
